2026-06-25 16:43:26Z hc2 (D2R_2): frame Unknown (21s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ?
2026-06-25 16:43:26Z hc3 (D2R_3): frame Unknown (22s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (19s ago), fg ?
2026-06-25 16:43:28Z hc1 (D2R_1): frame Unknown (0s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (20s ago), fg ?
2026-06-25 16:43:28Z hc2 (D2R_2): frame Unknown (0s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (20s ago), fg ?
2026-06-25 16:43:28Z hc3 (D2R_3): frame Unknown (1s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (21s ago), fg ?
2026-06-25 16:43:31Z hc1 (D2R_1): frame Unknown (2s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (22s ago), fg ?
2026-06-25 16:43:31Z hc2 (D2R_2): frame Unknown (2s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (22s ago), fg ?
2026-06-25 16:43:31Z hc3 (D2R_3): frame Unknown (3s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (0s ago), fg ?
2026-06-25 16:43:33Z hc1 (D2R_1): frame Unknown (5s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (2s ago), fg ?
2026-06-25 16:43:33Z hc2 (D2R_2): frame Unknown (5s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (2s ago), fg ?
2026-06-25 16:43:33Z hc3 (D2R_3): frame Unknown (5s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (2s ago), fg ?
2026-06-25 16:43:35Z hc1 (D2R_1): frame Unknown (7s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (4s ago), fg ?
2026-06-25 16:43:35Z hc2 (D2R_2): frame Unknown (7s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (4s ago), fg ?
2026-06-25 16:43:35Z hc3 (D2R_3): frame Unknown (8s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (4s ago), fg ?
2026-06-25 16:43:38Z hc1 (D2R_1): frame Unknown (9s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (6s ago), fg ?
2026-06-25 16:43:38Z hc2 (D2R_2): frame Unknown (9s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (6s ago), fg ?
2026-06-25 16:43:38Z hc3 (D2R_3): frame Unknown (10s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (7s ago), fg ?
2026-06-25 16:43:40Z hc1 (D2R_1): frame Unknown (12s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (8s ago), fg ?
2026-06-25 16:43:40Z hc2 (D2R_2): frame Unknown (12s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (8s ago), fg ?
2026-06-25 16:43:40Z hc3 (D2R_3): frame Unknown (12s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (9s ago), fg ?
2026-06-25 16:43:42Z hc1 (D2R_1): frame Unknown (14s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (11s ago), fg ?
2026-06-25 16:43:42Z hc2 (D2R_2): frame Unknown (14s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (11s ago), fg ?
2026-06-25 16:43:42Z hc3 (D2R_3): frame Unknown (15s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (11s ago), fg ?
2026-06-25 16:43:45Z hc1 (D2R_1): frame Unknown (16s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (13s ago), fg ?
2026-06-25 16:43:45Z hc2 (D2R_2): frame Unknown (16s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (13s ago), fg ?
2026-06-25 16:43:45Z hc3 (D2R_3): frame Unknown (17s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (14s ago), fg ?
2026-06-25 16:43:47Z hc1 (D2R_1): frame Unknown (18s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (15s ago), fg ?
2026-06-25 16:43:47Z hc2 (D2R_2): frame Unknown (18s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (15s ago), fg ?
2026-06-25 16:43:47Z hc3 (D2R_3): frame Unknown (19s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (16s ago), fg ?
2026-06-25 16:43:49Z hc1 (D2R_1): frame CharacterScreen (0s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ? | at EnsureReadyCharacterScreenOnlineAsync: ready loop detected CharacterScreen (0s ago)
2026-06-25 16:43:49Z hc2 (D2R_2): frame Unknown (21s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ?
2026-06-25 16:43:49Z hc3 (D2R_3): frame CharacterScreen (1s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (18s ago), fg ? | at EnsureLobbyOpenedAsync: remembered-character-screen click (0s ago)
2026-06-25 16:43:52Z hc1 (D2R_1): frame CharacterScreen (3s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@799,689 (1s ago), fg ? | at EnsureLobbyOpenedAsync: remembered-character-screen click (1s ago)
2026-06-25 16:43:52Z hc2 (D2R_2): frame CharacterMenu (1s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last key/Escape/G/Space/Enter@683,384 (20s ago), fg ? | at EnsureReadyCharacterScreenOnlineAsync: online character screen accepted (0s ago)
2026-06-25 16:43:52Z hc3 (D2R_3): frame CharacterScreen (3s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1046,55 (0s ago), fg ? | at ClickLobbyTabDirectAsync: first ClickD2R (0s ago)
2026-06-25 16:43:54Z hc1 (D2R_1): frame CharacterScreen (5s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@919,55 (0s ago), fg ? | at FillTextFieldAsync: first click (0s ago)
2026-06-25 16:43:54Z hc2 (D2R_2): frame CharacterMenu (3s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@799,689 (1s ago), fg ? | at ClickLobbyTabDirectAsync: first ClickD2R (0s ago)
2026-06-25 16:43:54Z hc3 (D2R_3): frame CharacterScreen (6s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@952,106 (0s ago), fg ? | at FillTextFieldAsync: second click (0s ago)
2026-06-25 16:43:58Z hc1 (D2R_1): frame CharacterScreen (7s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1046,123 (1s ago), fg ? | at FillTextFieldAsync: first click (0s ago)
2026-06-25 16:43:58Z hc2 (D2R_2): frame CharacterMenu (5s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@952,106 (0s ago), fg ? | at FillTextFieldAsync: first click (0s ago)
2026-06-25 16:43:58Z hc3 (D2R_3): frame CharacterScreen (8s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1143,106 (0s ago), fg ? | at FillTextFieldAsync: second click (0s ago)
2026-06-25 16:44:00Z hc1 (D2R_1): frame CharacterScreen (11s ago) [degraded: UI command is active; using process-only status so diagnostics cannot starve menu input.] | last click/Left@1045,475 (1s ago), fg ? | at ClickMenuEntryButtonUntilEnteredGameAsync: loop iteration 5, waiting entry grace before HUD check (0s ago)
