2026-06-24 19:57:50Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:50Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:50Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:52Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:55Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:57Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:57:59Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:02Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:04Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:06Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:08Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:11Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:13Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc1 (D2R_1): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc2 (D2R_2): frame unknown [degraded] | last no input yet
2026-06-24 19:58:15Z hc3 (D2R_3): frame unknown [degraded] | last no input yet
2026-06-24 19:58:24Z hc2 (D2R_2): frame Unknown (7s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (4s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (7s ago)
2026-06-24 19:58:24Z hc3 (D2R_3): frame Unknown (8s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (5s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (8s ago)
2026-06-24 19:58:27Z hc1 (D2R_1): frame Unknown (9s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (6s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (9s ago)
2026-06-24 19:58:27Z hc2 (D2R_2): frame Unknown (9s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (6s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (9s ago)
2026-06-24 19:58:27Z hc3 (D2R_3): frame Unknown (10s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (7s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (10s ago)
2026-06-24 19:58:29Z hc1 (D2R_1): frame Unknown (12s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (9s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (12s ago)
2026-06-24 19:58:29Z hc2 (D2R_2): frame Unknown (11s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (8s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (11s ago)
2026-06-24 19:58:29Z hc3 (D2R_3): frame Unknown (12s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (9s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (12s ago)
2026-06-24 19:58:31Z hc1 (D2R_1): frame Unknown (14s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (11s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (14s ago)
2026-06-24 19:58:31Z hc2 (D2R_2): frame Unknown (14s ago) [degraded] | last key/Escape/G/Space/Enter@683,384 (11s ago), fg ? | checks splash=F(lum=2,grey=0.00,dark=1.00,orange=0.00) connecting=F(lum=10,grey=0.00,dark=1.00,orange=0.00) offline=F(lum=5,grey=0.00,dark=1.00,orange=0.00) char(btn=F(lum=1,grey=0.00,dark=1.00,orange=0.00),menu=F(lum=1,grey=0.00,dark=1.00,orange=0.00)) (14s ago)
